gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000223972.5	0	0	0	1	0	0	
ENSG00000227232.5	11	14	17	17	22	10	
ENSG00000278267.1	2	2	1	1	0	1	
ENSG00000243485.5	2	0	0	0	0	0	
ENSG00000284332.1	0	0	0	0	0	0	
ENSG00000237613.2	0	0	0	0	0	0	
ENSG00000268020.3	0	0	0	0	0	0	
ENSG00000240361.2	0	0	0	0	0	0	
ENSG00000186092.6	0	0	0	0	0	0	
ENSG00000238009.6	0	0	0	0	0	0	
ENSG00000239945.1	0	0	0	0	0	0	
ENSG00000233750.3	0	0	0	0	0	0	
ENSG00000268903.1	1	4	1	3	1	0	
ENSG00000269981.1	1	1	2	2	1	0	
ENSG00000239906.1	1	0	0	0	1	0	
ENSG00000241860.6	42	48	37	36	42	32	
ENSG00000222623.1	0	0	0	0	0	0	
ENSG00000241599.1	0	0	0	0	0	0	
ENSG00000279928.2	16	10	7	8	14	13	
ENSG00000279457.4	60	44	47	60	63	52	
ENSG00000273874.1	1	1	1	1	0	0	
ENSG00000228463.10	20	28	39	25	30	25	
ENSG00000236679.2	0	0	0	0	0	0	
ENSG00000236601.2	0	0	0	0	0	0	
ENSG00000237094.12	10	8	9	13	9	5	
ENSG00000269732.1	0	0	0	0	0	0	
ENSG00000284733.1	0	0	0	0	0	0	
ENSG00000233653.3	0	0	0	0	0	0	
ENSG00000250575.1	0	0	0	0	0	0	
ENSG00000278757.1	0	0	0	0	0	0	
ENSG00000230021.10	4	2	8	2	2	6	
ENSG00000235146.2	0	0	0	0	0	0	
ENSG00000225972.1	16	13	8	16	8	7	
ENSG00000225630.1	5688	6231	5704	5831	5645	5341	
ENSG00000237973.1	1125	1109	1095	1100	987	902	
ENSG00000278791.1	1	0	0	1	0	0	
ENSG00000229344.1	110	88	70	79	70	46	
ENSG00000240409.1	55	64	64	79	54	40	
ENSG00000248527.1	16644	15109	13219	14350	14025	12717	
ENSG00000198744.5	171	56	55	126	51	45	
ENSG00000268663.1	0	0	0	0	0	0	
ENSG00000284662.1	0	0	0	0	0	0	
ENSG00000229376.3	0	0	0	0	0	0	
ENSG00000228327.3	100	88	102	122	75	113	
ENSG00000223181.1	0	0	0	0	0	0	
ENSG00000229905.1	0	0	0	0	0	0	
ENSG00000237491.8	25	31	27	30	23	22	
ENSG00000285268.1	0	0	0	0	0	0	
ENSG00000230092.7	8	9	3	11	8	4	
ENSG00000177757.2	0	0	0	0	0	0	
ENSG00000228794.8	704	703	681	661	687	598	
ENSG00000225880.5	33	36	37	32	36	28	
ENSG00000230368.2	1	0	0	0	0	0	
ENSG00000234711.1	0	0	0	0	0	0	
ENSG00000283040.1	0	0	0	0	0	0	
ENSG00000272438.1	50	57	49	84	54	48	
ENSG00000230699.2	149	148	125	248	160	120	
ENSG00000241180.1	0	0	0	0	0	0	
ENSG00000223764.2	1281	1682	1015	1625	1676	1014	
ENSG00000187634.11	3184	4189	2432	4024	3775	2469	
ENSG00000188976.10	6898	8114	8266	7298	7947	7820	
ENSG00000187961.13	1324	1604	1124	1309	1486	1212	
ENSG00000187583.10	364	393	396	368	386	384	
ENSG00000187642.9	24	28	8	25	26	13	
ENSG00000272512.1	77	91	77	126	93	75	
ENSG00000188290.10	312	303	288	275	368	284	
ENSG00000187608.9	334	246	226	301	216	246	
ENSG00000231702.2	1	0	0	0	0	0	
ENSG00000224969.1	0	0	1	0	1	0	
ENSG00000188157.14	18679	20446	17915	21075	19456	18617	
ENSG00000242590.1	0	0	0	0	0	0	
ENSG00000217801.9	251	209	232	229	215	230	
ENSG00000273443.1	18	19	8	13	13	13	
ENSG00000237330.2	1	6	2	0	5	1	
ENSG00000131591.17	680	791	642	802	719	682	
ENSG00000285812.1	0	0	0	0	0	0	
ENSG00000223823.1	0	0	0	0	0	0	
ENSG00000207730.3	1	0	0	1	0	0	
ENSG00000207607.3	1	0	3	0	2	0	
ENSG00000198976.1	0	0	1	1	1	0	
ENSG00000272141.1	6	5	9	7	4	6	
ENSG00000205231.1	0	0	0	0	0	0	
ENSG00000162571.13	0	0	0	0	0	0	
ENSG00000186891.13	0	1	0	0	1	0	
ENSG00000186827.10	4	5	4	2	5	4	
ENSG00000078808.16	7478	7892	6960	7311	7443	6839	
ENSG00000176022.5	1240	1473	1201	1237	1328	1146	
ENSG00000184163.3	32	26	29	58	31	23	
ENSG00000260179.1	12	11	10	15	15	9	
ENSG00000160087.20	1991	2285	2117	2115	2281	2115	
ENSG00000230415.1	42	47	33	53	52	42	
ENSG00000162572.20	314	252	204	317	244	226	
ENSG00000131584.18	2400	2677	2173	2580	2429	2216	
ENSG00000278073.1	1	0	0	0	0	0	
ENSG00000169972.11	603	724	656	653	720	669	
ENSG00000127054.20	3558	3796	3433	3990	3875	3286	
ENSG00000283712.1	0	0	0	0	0	0	
ENSG00000240731.1	105	127	91	119	84	97	
ENSG00000224051.6	813	1019	803	779	821	791	
ENSG00000169962.4	32	24	23	23	19	22	
ENSG00000107404.19	3647	4424	3662	3548	3859	3723	
ENSG00000284372.1	0	0	0	0	0	0	
ENSG00000162576.16	6	14	10	15	9	17	
ENSG00000175756.13	3182	3743	3230	3472	3413	3455	
ENSG00000223663.2	0	1	2	1	0	0	
ENSG00000221978.11	6780	7045	5897	7674	7075	5883	
ENSG00000224870.6	917	1004	799	949	989	847	
ENSG00000242485.5	3260	3814	3636	3623	3794	3436	
ENSG00000264293.2	0	0	0	0	0	0	
ENSG00000272455.1	160	183	143	179	157	122	
ENSG00000235098.8	0	5	2	3	5	3	
ENSG00000225905.1	0	0	0	0	0	0	
ENSG00000205116.3	2	1	0	2	0	1	
ENSG00000225285.1	7	6	5	12	10	5	
ENSG00000179403.11	617	654	509	685	644	557	
ENSG00000215915.9	1	0	1	0	0	0	
ENSG00000160072.19	61	59	63	67	58	58	
ENSG00000284740.1	16	13	8	14	14	7	
ENSG00000197785.13	1377	1676	1673	1534	1605	1658	
ENSG00000205090.8	34	33	20	35	43	24	
ENSG00000160075.11	3697	3880	3598	4042	3993	3482	
ENSG00000215014.5	13	26	21	30	18	19	
ENSG00000274481.1	0	0	0	0	0	0	
ENSG00000228594.3	313	331	206	323	300	237	
ENSG00000272106.1	109	113	67	98	94	79	
ENSG00000197530.12	1674	1606	1327	1661	1494	1420	
ENSG00000189409.13	4	5	3	16	7	4	
ENSG00000248333.8	2024	2036	1808	1970	1952	1799	
ENSG00000272004.1	11	6	6	6	10	7	
ENSG00000189339.11	1875	2151	1526	2152	1846	1588	
ENSG00000269737.2	2	1	1	1	0	1	
ENSG00000215914.4	3	0	0	1	0	0	
ENSG00000008128.22	52	77	55	61	57	52	
ENSG00000268575.1	71	72	41	80	61	43	
ENSG00000227775.3	4	0	3	2	1	5	
ENSG00000215790.7	419	447	370	443	402	353	
ENSG00000008130.15	2878	3108	2719	3080	2896	2662	
ENSG00000078369.17	17617	19500	17920	18475	19309	16504	
ENSG00000231050.1	10	12	5	6	2	1	
ENSG00000169885.9	32	30	21	49	23	28	
ENSG00000178821.12	14	13	14	22	23	11	
ENSG00000142609.18	4	6	12	9	4	7	
ENSG00000233542.1	0	0	0	0	0	0	
ENSG00000187730.8	20	18	11	25	12	23	
ENSG00000226969.1	3	2	0	2	2	0	
ENSG00000067606.16	836	837	695	795	789	708	
ENSG00000271806.1	1	1	5	7	2	2	
ENSG00000182873.5	48	28	37	32	40	38	
ENSG00000162585.16	1059	1160	977	1228	1049	986	
ENSG00000234396.3	2	3	1	2	1	3	
ENSG00000157933.9	2330	2571	2329	2708	2480	2272	
ENSG00000116151.13	580	550	495	655	518	515	
ENSG00000272161.1	1	2	2	0	1	4	
ENSG00000269896.2	84	75	72	108	77	74	
ENSG00000272420.1	12	17	4	27	14	6	
ENSG00000157916.19	5378	5964	5450	5836	5845	5395	
ENSG00000157911.10	1675	1666	1575	1607	1644	1494	
ENSG00000149527.17	20	15	16	8	14	20	
ENSG00000224387.1	0	0	0	0	0	0	
ENSG00000229393.1	0	0	0	0	0	0	
ENSG00000157881.13	491	550	502	486	559	453	
ENSG00000197921.5	0	1	0	0	0	0	
ENSG00000272449.2	0	0	0	0	0	0	
ENSG00000238164.6	0	0	0	0	1	0	
ENSG00000157873.17	5	1	6	2	2	4	
ENSG00000225931.3	0	0	0	0	0	0	
ENSG00000228037.1	0	0	0	0	0	0	
ENSG00000157870.15	338	342	247	363	350	277	
ENSG00000142606.15	0	0	1	3	0	0	
ENSG00000237058.1	0	0	0	0	0	0	
ENSG00000215912.12	0	1	0	1	3	2	
ENSG00000285945.1	0	0	0	0	0	0	
ENSG00000283259.1	0	0	0	0	0	0	
ENSG00000233234.1	0	0	0	0	0	0	
ENSG00000231630.1	0	0	0	0	0	0	
ENSG00000284745.1	0	0	0	0	0	0	
ENSG00000169717.6	0	0	0	0	0	0	
ENSG00000177133.10	0	0	1	4	2	0	
ENSG00000142611.16	33	35	25	49	23	32	
ENSG00000283572.1	0	0	0	0	0	0	
ENSG00000226286.1	1	0	0	0	0	0	
ENSG00000279839.1	0	0	0	2	0	0	
ENSG00000272235.1	0	0	0	0	0	1	
ENSG00000130762.14	321	374	272	307	311	331	
ENSG00000272088.1	2	2	1	2	2	2	
ENSG00000162591.15	1444	1890	1902	1643	1841	1969	
ENSG00000207776.1	0	0	0	0	0	0	
ENSG00000238260.1	12	18	10	20	9	4	
ENSG00000158109.14	1630	1997	1688	1549	1829	1593	
ENSG00000116213.15	1005	1234	977	1162	1148	966	
ENSG00000078900.14	21	41	18	47	32	18	
ENSG00000227589.1	0	0	0	0	0	0	
ENSG00000235131.1	0	0	0	0	0	0	
ENSG00000227372.12	1530	1706	1264	1743	1613	1486	
ENSG00000276189.1	0	0	0	0	0	0	
ENSG00000162592.9	0	0	1	0	0	1	
ENSG00000235169.8	30	18	18	19	19	17	
ENSG00000130764.9	3309	3802	3196	3653	3732	3417	
ENSG00000266075.2	0	0	0	0	1	0	
